JerseyNo,Date,TRB,AST,STL,PTS
0,2018-03-19,5,5,1,17
0,2018-03-21,3,5,3,12
0,2018-03-23,1,5,0,4
0,2018-03-25,3,2,2,10
0,2018-03-27,7,2,2,15
0,2018-03-29,5,3,0,22
0,2018-03-31,7,3,2,13
0,2018-04-03,5,2,1,9
0,2018-04-04,4,2,3,19
0,2018-04-06,2,2,0,2
0,2018-04-09,3,3,1,18
0,2018-04-11,6,5,2,6
21,2017-10-18,22,1,0,26
21,2017-10-21,0,0,0,0
21,2017-10-23,0,0,0,0
21,2017-10-25,0,0,0,0
21,2017-10-28,0,0,0,0
21,2017-10-30,0,0,0,0
21,2017-11-01,14,1,1,13
21,2017-11-03,3,0,2,13
21,2017-11-05,17,1,3,21
21,2017-11-06,6,0,0,3
21,2017-11-08,10,1,1,23
21,2017-11-10,20,0,3,8
21,2017-11-12,12,0,1,20
21,2017-11-15,21,0,0,14
21,2017-11-17,16,1,0,22
21,2017-11-19,7,0,0,15
21,2017-11-22,10,0,0,8
21,2017-11-24,10,1,0,16
21,2017-11-26,9,0,1,11
21,2017-11-28,14,0,2,11
21,2017-11-29,0,0,0,0
21,2017-12-01,0,0,0,0
21,2017-12-03,0,0,0,0
21,2017-12-06,0,0,0,0
21,2017-12-09,0,0,0,0
21,2017-12-11,0,0,0,0
21,2017-12-13,0,0,0,0
21,2017-12-15,0,0,0,0
21,2017-12-16,0,0,0,0
21,2017-12-18,0,0,0,0
21,2017-12-20,0,0,0,0
21,2017-12-22,0,0,0,0
21,2017-12-23,0,0,0,0
21,2017-12-26,8,0,1,7
21,2017-12-29,8,0,2,17
21,2017-12-30,13,4,0,9
21,2018-01-03,4,2,1,10
21,2018-01-05,7,0,0,12
21,2018-01-07,10,1,0,14
21,2018-01-09,15,1,0,13
21,2018-01-10,15,1,0,16
21,2018-01-14,10,0,2,15
21,2018-01-15,8,1,0,9
21,2018-01-17,14,0,0,27
21,2018-01-19,13,2,0,22
21,2018-01-20,14,3,0,10
21,2018-01-22,13,2,3,22
21,2018-01-25,14,1,1,8
21,2018-01-27,10,0,0,6
21,2018-01-29,14,2,0,25
21,2018-01-31,8,1,0,9
21,2018-02-02,9,0,0,4
21,2018-02-03,0,0,0,0
21,2018-02-05,14,1,0,19
21,2018-02-07,17,1,0,16
21,2018-02-09,16,2,1,12
21,2018-02-13,10,1,2,10
21,2018-02-14,10,1,0,16
21,2018-02-23,16,1,1,19
21,2018-02-24,8,2,1,12
21,2018-02-27,11,3,3,15
21,2018-03-01,7,0,0,6
21,2018-03-03,19,1,0,8
21,2018-03-05,14,2,2,24
21,2018-03-06,6,1,0,8
21,2018-03-08,8,2,1,26
21,2018-03-10,0,0,0,0
21,2018-03-12,0,0,0,0
21,2018-03-14,0,0,0,0
21,2018-03-16,0,0,0,0
21,2018-03-19,0,0,0,0
21,2018-03-21,0,0,0,0
21,2018-03-23,0,0,0,0
21,2018-03-25,0,0,0,0
21,2018-03-27,0,0,0,0
21,2018-03-29,7,4,1,8
21,2018-03-31,6,0,1,14
21,2018-04-03,12,0,0,18
21,2018-04-04,13,2,0,4
21,2018-04-06,6,0,0,14
21,2018-04-09,8,1,0,16
21,2018-04-11,12,2,0,10
20,2017-10-18,4,2,1,10
20,2017-10-21,6,0,1,6
20,2017-10-23,5,1,1,8
20,2017-10-25,1,1,0,4
20,2017-10-28,12,3,1,6
20,2017-10-30,8,2,0,10
20,2017-11-01,5,0,1,8
20,2017-11-03,3,0,1,3
20,2017-11-05,2,0,1,2
20,2017-11-06,7,5,1,6
20,2017-11-08,6,5,1,14
20,2017-11-10,6,0,0,4
20,2017-11-12,4,1,2,4
20,2017-11-15,5,2,0,7
20,2017-11-17,7,1,2,10
20,2017-11-19,5,3,2,6
20,2017-11-22,8,1,0,8
20,2017-11-24,6,2,0,8
20,2017-11-26,8,2,1,4
20,2017-11-28,4,2,0,5
20,2017-11-29,5,3,1,5
20,2017-12-01,11,3,0,7
20,2017-12-03,3,3,0,7
20,2017-12-06,4,3,0,5
20,2017-12-09,6,1,0,15
20,2017-12-11,5,3,1,5
20,2017-12-13,0,2,0,0
20,2017-12-15,0,0,0,0
20,2017-12-16,0,0,0,0
20,2017-12-18,0,0,0,0
20,2017-12-20,0,0,0,0
20,2017-12-22,0,0,0,0
20,2017-12-23,0,0,0,0
20,2017-12-26,0,0,0,0
20,2017-12-29,0,0,0,0
20,2017-12-30,0,0,0,0
20,2018-01-03,0,0,0,0
20,2018-01-05,0,0,0,0
20,2018-01-07,0,0,0,0
20,2018-01-09,0,0,0,0
20,2018-01-10,0,0,0,0
20,2018-01-14,4,4,0,3
20,2018-01-15,6,4,1,4
20,2018-01-17,1,3,0,6
20,2018-01-19,4,1,1,5
20,2018-01-20,3,0,1,3
20,2018-01-22,4,4,0,7
20,2018-01-25,5,2,0,11
20,2018-01-27,7,4,0,6
20,2018-01-29,5,1,0,6
20,2018-01-31,10,2,1,9
20,2018-02-02,12,1,0,7
20,2018-02-03,6,3,1,0
20,2018-02-05,8,2,1,16
20,2018-02-07,1,3,0,5
20,2018-02-09,6,0,0,0
20,2018-02-13,2,2,0,5
20,2018-02-14,3,1,3,3
20,2018-02-23,3,4,3,4
20,2018-02-24,7,2,3,17
20,2018-02-27,2,3,0,2
20,2018-03-01,5,2,2,17
20,2018-03-03,4,2,2,13
20,2018-03-05,12,5,4,12
